cell_id,elev,t4_pm20_majority,t2_pm20_majority,t4_pm10_majority,t0_p0_majority,t2_pm10_majority,t4_p0_majority,t0_pm10_majority,t0_pm20_majority,t2_p0_majority
"UG_23588",294,6,6,6,6,6,6,6,6,6
"UG_23589",365,6,6,6,6,6,6,6,6,6
"UG_23590",465,6,6,6,6,6,6,6,6,6
"UG_23591",365,6,6,6,6,6,6,6,6,6
"UG_23436",493,6,6,6,6,6,6,6,6,6
"UG_23437",507,6,6,6,6,6,6,6,6,6
"UG_23438",562,6,6,6,6,6,6,6,6,6
"UG_23439",417,4,6,4,6,4,4,4,6,4
"UG_23440",391,4,4,4,4,4,4,4,4,4
"UG_23441",308,4,4,4,4,4,4,4,4,4
"UG_23442",217,2,2,2,2,2,2,2,2,2
"UG_23443",132,2,2,2,2,2,2,2,2,2
"UG_23444",110,2,2,2,2,2,2,2,2,2
"UG_23445",144,2,2,2,2,2,2,2,2,2
"UG_23446",122,2,2,2,2,2,2,2,2,2
"UG_23447",99,2,2,2,2,2,2,2,2,2
"UG_23448",48,2,2,2,2,2,2,2,2,2
"UG_23574",135,6,6,6,6,6,6,6,6,6
"UG_23574",135,6,6,6,6,6,6,6,6,6
"UG_23574",135,6,6,6,6,6,6,6,6,6
"UG_23574",135,6,6,6,6,6,6,6,6,6
"UG_23574",135,6,6,6,6,6,6,6,6,6
"UG_23575",152,6,6,6,6,6,6,6,6,6
"UG_23576",182,6,6,6,6,6,6,6,6,6
"UG_23576",182,6,6,6,6,6,6,6,6,6
"UG_23576",182,6,6,6,6,6,6,6,6,6
"UG_23577",106,2,4,4,4,4,4,4,2,4
"UG_23577",106,2,4,4,4,4,4,4,2,4
"UG_23577",106,2,4,4,4,4,4,4,2,4
"UG_23577",106,2,4,4,4,4,4,4,2,4
"UG_23578",186,6,6,4,4,4,4,6,6,4
"UG_23578",186,6,6,4,4,4,4,6,6,4
"UG_23579",260,6,6,4,4,4,4,4,6,4
"UG_23579",260,6,6,4,4,4,4,4,6,4
"UG_23580",339,2,2,4,4,4,4,4,2,4
"UG_23424",421,6,6,6,6,6,6,6,6,6
"UG_23425",495,6,6,6,6,6,6,6,6,6
"UG_23426",392,6,6,6,6,6,6,6,6,6
"UG_23427",372,2,2,2,2,2,2,2,2,2
"UG_23428",406,2,2,2,2,2,2,2,2,2
"UG_23429",337,4,4,4,4,4,4,4,4,4
"UG_23430",214,4,4,4,4,4,4,4,4,4
"UG_23431",99,2,2,2,2,2,2,2,2,2
"UG_23432",61,2,2,2,2,2,2,2,2,2
"UG_23433",97,2,2,2,2,2,2,2,2,2
"UG_23433",97,2,2,2,2,2,2,2,2,2
"UG_23434",85,2,2,2,2,2,2,2,2,2
"UG_23434",85,2,2,2,2,2,2,2,2,2
"UG_23435",27,2,2,2,2,2,2,2,2,2
"UG_23435",27,2,2,2,2,2,2,2,2,2
"UG_23568",34,6,6,4,4,4,4,4,6,4
"UG_23569",65,2,4,4,4,4,4,4,2,4
"UG_23569",65,2,4,4,4,4,4,4,2,4
"UG_23569",65,2,4,4,4,4,4,4,2,4
"UG_23569",65,2,4,4,4,4,4,4,2,4
"UG_23570",180,2,2,4,4,4,4,4,2,4
"UG_23571",234,2,2,4,4,4,4,4,2,4
"UG_23572",244,2,2,4,4,4,4,4,2,4
"UG_23572",244,2,2,4,4,4,4,4,2,4
"UG_23573",345,2,2,4,4,4,4,4,2,4
"UG_23537",308,6,6,6,6,6,6,6,6,6
"UG_23412",329,6,6,6,6,6,6,6,6,6
"UG_23413",305,4,4,4,4,4,4,4,6,4
"UG_23414",259,4,4,4,4,4,4,4,6,4
"UG_23415",244,6,4,4,4,4,4,4,2,4
"UG_23416",210,2,4,4,4,4,4,4,2,4
"UG_23417",262,4,4,4,4,4,4,4,4,4
"UG_23418",213,4,4,4,4,4,4,4,4,4
"UG_23419",147,4,4,4,4,4,4,4,4,4
"UG_23420",147,2,2,2,2,2,2,2,2,2
"UG_23421",77,2,2,2,2,2,2,2,2,2
"UG_23422",114,2,2,2,2,2,2,2,2,2
"UG_23423",73,2,2,2,2,2,2,2,2,2
"UG_23561",184,6,6,6,6,6,6,6,6,6
"UG_23562",116,6,6,4,4,4,4,4,6,4
"UG_23562",116,6,6,4,4,4,4,4,6,4
"UG_23562",116,6,6,4,4,4,4,4,6,4
"UG_23563",90,2,2,4,4,4,4,4,2,4
"UG_23563",90,2,2,4,4,4,4,4,2,4
"UG_23563",90,2,2,4,4,4,4,4,2,4
"UG_23564",125,2,2,4,4,4,4,4,2,4
"UG_23564",125,2,2,4,4,4,4,4,2,4
"UG_23565",180,2,2,4,4,4,4,4,2,4
"UG_23565",180,2,2,4,4,4,4,4,2,4
"UG_23566",258,2,2,4,4,4,4,4,2,4
"UG_23566",258,2,2,4,4,4,4,4,2,4
"UG_23567",238,2,2,4,4,4,4,4,2,4
"UG_23567",238,2,2,4,4,4,4,4,2,4
"UG_23567",238,2,2,4,4,4,4,4,2,4
"UG_23535",242,2,4,4,4,4,4,4,2,4
"UG_23535",242,2,4,4,4,4,4,4,2,4
"UG_23535",242,2,4,4,4,4,4,4,2,4
"UG_23536",132,4,4,4,4,4,4,4,2,4
"UG_23403",115,4,4,4,4,4,4,4,4,4
"UG_23404",200,4,4,4,4,4,4,4,4,4
"UG_23405",217,4,4,4,4,4,4,4,4,4
"UG_23406",74,2,2,2,2,2,2,2,2,2
"UG_23407",31,2,2,2,2,2,2,2,2,2
"UG_23407",31,2,2,2,2,2,2,2,2,2
"UG_23408",92,2,2,2,2,2,2,2,2,2
